index,id,eventid,resid,resdepth,position,rotation,scale,material,shader,texture,font,events,components,children
uint,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1,Add,0,"slot_chr_type2;icon_chr_type3;mesh_slot_select_obj;icon_chr_type4;slot_chr_remove;mesh_skynight_obj;slot_chr_info;icon_grade_5;ui_damage_counters;icon_grade_2;slot_chr_inven2;ui_damage_counter_animation;slot_chr_type4;worldmap_downcover;ui_line;worldmap_marker_stage;worldmap_marker_home;mesh_skymorning_obj;ui_booster_buy_select;slot_chr_type1;ui_hp_pc;mesh_skyeven_obj;icon_chr_type1;ui_chr_viewer;icon_grade_7;slot_chr_inven1;ui_gauge_leader_skill;slot_chr_type3;thumbnail_stage_01;icon_grade_4;mesh_slot_choiceguide_obj;slot_inven_item;ui_sprite;mesh_skyday_obj;thumbnail_stage_02;icon_chr_type2;slot_chr_inven3;ui_worldmap;ui_hp_enemy;worldmap_cover_obj;slot_chr_tradefree_gold;worldmap_actlabel;ui_battle_bossskill_on;info_item;ui_character_slot;icon_grade_3;icon_grade_6;icon_grade_1;slot_chr_tradefree_gem;slot_chr_inven4;mesh_actlabel_obj",0,0:0:0,0:0:0,1:1:1,"ui_tex;ui_chr_select_effect_01;ui_chr_select_effect_02;ui_chr_select_effect_03;ui_chr_select_effect_04;ui_colored_tex;ui_home_cloud_tex;ui_home_deco_tex;ui_home_floor_tex;ui_home_sky_tex;font_godic_tex;icon_tex;font_img_white_tex_colorchange;stage_1_tex;ui_chr_slot_effect_01;ui_chr_slot_effect_02;ui_chr_slot_effect_03;ui_chr_slot_effect_04;stage_2_tex;worldmap_cover_tex;ui_actlabel_effect_tex_01;ui_actlabel_effect_tex_02;ui_actlabel_effect_tex_03;ui_actlabel_effect_tex_04","Mobile/Particles/Alpha Blended;Particles/Additive;Particles/Alpha Blended;Unlit/Transparent;Mobile/Particles/VertexLit Blended","ui_tex;ui_chr_select_effect_01;ui_chr_select_effect_02;ui_chr_select_effect_03;ui_chr_select_effect_04;ui_colored_tex;ui_home_cloud_tex;ui_home_deco_tex;ui_home_floor_tex;ui_home_sky_tex;font_godic_tex;ui_empty_tex;font_img_white_tex;stage_01_tex;ui_chr_slot_effect_01;ui_chr_slot_effect_02;ui_chr_slot_effect_03;ui_chr_slot_effect_04;stage_02_tex;worldmap_cover_tex;ui_actlabel_effect_tex_01;ui_actlabel_effect_tex_02;ui_actlabel_effect_tex_03;ui_actlabel_effect_tex_04","font_godic;font_img_white","Key:{OnBackKey:{None,0}}Scene:{OnLoad:{Target:{}Event:{None}Arg:{}}}","Scene:{UseLoadImage:{False}}",2:3:4:9:10:12:19:26:31:32:34:35:36:37:38:39:46:47:50:51:52:53:54:55:56:57:60:61:62:63:70:71:72:73:74:75:76:80:85:93:94:97:98:99:100:101:102:103:106:113:115:116:120:121:124:130:131:132:135:136
2,slot_chr_type2,0,slot_chr_type2,0,0:0:-60,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,"Button:{InputType:{TAP}OnTap:{None,}EventTargetID:{}}",0,0
3,icon_chr_type3,0,icon_chr_type3,0,0:0:-1,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
4,mesh_slot_select_obj,0,mesh_slot_select_obj,0,0:0:40,90:0:0,10:5:10,ui_chr_select_effect_01,Particles/Additive,ui_chr_select_effect_01,0,0,0,5:6:7:8
5,01,0,mesh_slot_select_obj,:0,0.001546435:6.440779E-06:26.13488,90:0:0,1:1:1,ui_chr_select_effect_01,Particles/Additive,ui_chr_select_effect_01,0,0,0,0
6,02,0,mesh_slot_select_obj,:1,0.001546435:3.944271E-06:33.11563,90:0:0,1:1:1,ui_chr_select_effect_02,Particles/Additive,ui_chr_select_effect_02,0,0,0,0
7,03,0,mesh_slot_select_obj,:2,0.001546435:7.108494E-06:24.26782,90:0:0,0.95:1:0.95,ui_chr_select_effect_03,Particles/Additive,ui_chr_select_effect_03,0,0,0,0
8,04,0,mesh_slot_select_obj,:3,0.001546435:5.563899E-06:28.58682,90:0:0,1:1:1,ui_chr_select_effect_04,Particles/Additive,ui_chr_select_effect_04,0,0,0,0
9,icon_chr_type4,0,icon_chr_type4,0,0:0:-1,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
10,slot_chr_remove,0,slot_chr_remove,0,0:0:-60,0:0:0,1:1:1,ui_colored_tex,Particles/Alpha Blended,ui_colored_tex,0,"Button:{InputType:{TAP}OnTap:{DeckClear,}EventTargetID:{}}",0,11
11,font_team_except,0,slot_chr_remove,:0,0:0:-61,0:0:0,1:1:1,ui_tex,Mobile/Particles/Alpha Blended,ui_tex,0,0,0,0
12,mesh_skynight_obj,0,mesh_skynight_obj,0,0:-75:400,0:180:0,10:10:10,0,0,0,0,0,0,13:14:15:16:17:18
13,cloud01,0,mesh_skynight_obj,:0,1.712185E-06:364.0923:405.2547,270:180:0,1:1:1,ui_home_cloud_tex,Particles/Alpha Blended,ui_home_cloud_tex,0,0,0,0
14,cloud02,0,mesh_skynight_obj,:1,-9.188153E-06:294.4052:371.8018,270:180:0,1:1:1,ui_home_cloud_tex,Particles/Alpha Blended,ui_home_cloud_tex,0,0,0,0
15,deco,0,mesh_skynight_obj,:2,-2.458035E-06:265.6432:392.4564,270:180:0,1:1:1,ui_home_deco_tex,Particles/Alpha Blended,ui_home_deco_tex,0,0,0,0
16,floor,0,mesh_skynight_obj,:3,2.999373E-05:-290.7679:433.514,270:180:0,1:1:1,ui_home_floor_tex,Particles/Alpha Blended,ui_home_floor_tex,0,0,0,0
